Sale ID,Date,Medicine ID,Medicine Name,Category,Qty Sold,Unit Price (₹),Total Revenue (₹),Payment Mode,Sold By
SL-0001,2025-04-06,MED016,Doxycycline 100mg,Antibiotic,6,404.01,2424.06,Insurance,Rahul K
SL-0002,2025-04-06,MED013,Aspirin 75mg,Analgesic,18,132.11,2377.98,Cash,Sneha R
SL-0003,2025-04-06,MED008,Azithromycin 250mg,Antibiotic,5,402.69,2013.45,Credit Card,Sneha R
SL-0004,2025-04-06,MED005,Amlodipine 5mg,Antihypertensive,20,409.35,8187.0,Insurance,Kiran M
SL-0005,2025-04-06,MED001,Amoxicillin 500mg,Antibiotic,15,449.63,6744.45,Insurance,Sneha R
SL-0006,2025-04-06,MED015,Pantoprazole 40mg,Antacid,9,378.37,3405.33,Credit Card,Kiran M
SL-0007,2025-04-06,MED019,Loratadine 10mg,Antihistamine,16,317.11,5073.76,Credit Card,Sneha R
SL-0008,2025-04-06,MED014,Atorvastatin 10mg,Antihypertensive,3,359.64,1078.92,UPI,Amit V
SL-0009,2025-04-06,MED002,Paracetamol 500mg,Antipyretic,11,166.66,1833.26,Cash,Priya S
SL-0010,2025-04-06,MED007,Omeprazole 20mg,Antacid,5,123.32,616.6,UPI,Priya S
SL-0011,2025-04-06,MED004,Metformin 500mg,Antidiabetic,3,213.29,639.87,Credit Card,Kiran M
SL-0012,2025-04-07,MED014,Atorvastatin 10mg,Antihypertensive,16,12.89,206.24,Credit Card,Amit V
SL-0013,2025-04-07,MED002,Paracetamol 500mg,Antipyretic,25,201.09,5027.25,Insurance,Kiran M
SL-0014,2025-04-07,MED007,Omeprazole 20mg,Antacid,24,369.97,8879.28,UPI,Sneha R
SL-0015,2025-04-07,MED020,Multivitamin Tab,Vitamin,8,143.74,1149.92,Insurance,Rahul K
SL-0016,2025-04-07,MED013,Aspirin 75mg,Analgesic,13,174.7,2271.1,Insurance,Priya S
SL-0017,2025-04-07,MED015,Pantoprazole 40mg,Antacid,27,239.02,6453.54,UPI,Kiran M
SL-0018,2025-04-07,MED016,Doxycycline 100mg,Antibiotic,18,23.21,417.78,Insurance,Kiran M
SL-0019,2025-04-07,MED010,Vitamin D3 1000IU,Vitamin,19,334.87,6362.53,Cash,Sneha R
SL-0020,2025-04-07,MED012,Acyclovir 400mg,Antiviral,5,434.76,2173.8,UPI,Rahul K
SL-0021,2025-04-07,MED001,Amoxicillin 500mg,Antibiotic,9,195.76,1761.84,UPI,Sneha R
SL-0022,2025-04-07,MED017,Glibenclamide 5mg,Antidiabetic,11,175.38,1929.18,Insurance,Amit V
SL-0023,2025-04-07,MED018,Losartan 50mg,Antihypertensive,25,476.09,11902.25,Insurance,Amit V
SL-0024,2025-04-08,MED016,Doxycycline 100mg,Antibiotic,21,43.62,916.02,Cash,Rahul K
SL-0025,2025-04-08,MED001,Amoxicillin 500mg,Antibiotic,8,107.69,861.52,Cash,Kiran M
SL-0026,2025-04-08,MED018,Losartan 50mg,Antihypertensive,5,126.89,634.45,Insurance,Rahul K
SL-0027,2025-04-08,MED002,Paracetamol 500mg,Antipyretic,19,474.4,9013.6,Insurance,Amit V
SL-0028,2025-04-08,MED012,Acyclovir 400mg,Antiviral,25,190.76,4769.0,Cash,Priya S
SL-0029,2025-04-08,MED004,Metformin 500mg,Antidiabetic,10,62.97,629.7,Cash,Amit V
SL-0030,2025-04-09,MED013,Aspirin 75mg,Analgesic,26,492.08,12794.08,Cash,Amit V
SL-0031,2025-04-09,MED007,Omeprazole 20mg,Antacid,18,219.91,3958.38,Credit Card,Rahul K
SL-0032,2025-04-09,MED003,Ibuprofen 400mg,Analgesic,17,327.3,5564.1,Cash,Sneha R
SL-0033,2025-04-09,MED008,Azithromycin 250mg,Antibiotic,27,250.2,6755.4,Insurance,Amit V
SL-0034,2025-04-09,MED004,Metformin 500mg,Antidiabetic,21,446.87,9384.27,Insurance,Priya S
SL-0035,2025-04-09,MED012,Acyclovir 400mg,Antiviral,14,96.31,1348.34,Credit Card,Kiran M
SL-0036,2025-04-09,MED020,Multivitamin Tab,Vitamin,26,460.61,11975.86,Insurance,Sneha R
SL-0037,2025-04-09,MED005,Amlodipine 5mg,Antihypertensive,14,414.61,5804.54,Credit Card,Amit V
SL-0038,2025-04-09,MED011,Fluconazole 150mg,Antifungal,28,130.29,3648.12,Cash,Amit V
SL-0039,2025-04-09,MED010,Vitamin D3 1000IU,Vitamin,29,230.89,6695.81,Insurance,Kiran M
SL-0040,2025-04-09,MED002,Paracetamol 500mg,Antipyretic,20,337.41,6748.2,Credit Card,Rahul K
SL-0041,2025-04-10,MED011,Fluconazole 150mg,Antifungal,1,263.15,263.15,UPI,Rahul K
SL-0042,2025-04-10,MED006,Cetirizine 10mg,Antihistamine,8,362.84,2902.72,Insurance,Kiran M
SL-0043,2025-04-10,MED016,Doxycycline 100mg,Antibiotic,25,127.76,3194.0,Insurance,Sneha R
SL-0044,2025-04-10,MED007,Omeprazole 20mg,Antacid,15,398.54,5978.1,Cash,Amit V
SL-0045,2025-04-10,MED012,Acyclovir 400mg,Antiviral,8,208.16,1665.28,UPI,Amit V
SL-0046,2025-04-10,MED013,Aspirin 75mg,Analgesic,22,294.96,6489.12,Insurance,Kiran M
SL-0047,2025-04-10,MED005,Amlodipine 5mg,Antihypertensive,17,178.44,3033.48,Credit Card,Amit V
SL-0048,2025-04-10,MED019,Loratadine 10mg,Antihistamine,23,232.34,5343.82,Credit Card,Amit V
SL-0049,2025-04-10,MED014,Atorvastatin 10mg,Antihypertensive,8,69.12,552.96,UPI,Amit V
SL-0050,2025-04-10,MED010,Vitamin D3 1000IU,Vitamin,4,374.01,1496.04,UPI,Priya S
SL-0051,2025-04-10,MED018,Losartan 50mg,Antihypertensive,7,371.92,2603.44,Credit Card,Kiran M
SL-0052,2025-04-10,MED009,Vitamin C 500mg,Vitamin,25,267.07,6676.75,Credit Card,Rahul K
SL-0053,2025-04-11,MED010,Vitamin D3 1000IU,Vitamin,5,144.41,722.05,Cash,Kiran M
SL-0054,2025-04-11,MED008,Azithromycin 250mg,Antibiotic,10,351.73,3517.3,UPI,Sneha R
