Medicine ID,Medicine Name,Category,Batch ID,Manufacture Date,Expiry Date,Shelf Life (days),Stock Quantity,Unit,Reorder Level,Storage Condition,Status
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-01,2024-08-01,2025-08-01,365,12,Bottles,67,Room Temp,Near Expiry
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-02,2024-08-15,2025-08-15,365,377,Strips,26,Refrigerate,Active
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-03,2024-07-19,2025-07-19,365,302,Bottles,47,Room Temp,Near Expiry
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-04,2024-09-24,2025-09-24,365,119,Strips,52,Refrigerate,Active
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-05,2024-09-14,2025-09-14,365,366,Strips,61,Cool & Dry,Active
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-06,2024-09-25,2025-09-25,365,229,Bottles,57,Room Temp,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-01,2023-11-16,2025-11-15,730,357,Strips,47,Room Temp,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-02,2024-01-12,2026-01-11,730,490,Strips,68,Room Temp,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-03,2024-06-29,2026-06-29,730,49,Strips,42,Refrigerate,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-04,2024-03-02,2026-03-02,730,413,Strips,22,Refrigerate,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-05,2023-10-11,2025-10-10,730,498,Strips,79,Refrigerate,Active
MED002,Paracetamol 500mg,Antipyretic,BCH-002-06,2024-04-01,2026-04-01,730,424,Strips,60,Cool & Dry,Active
MED003,Ibuprofen 400mg,Analgesic,BCH-003-01,2025-01-17,2027-01-17,730,98,Bottles,65,Refrigerate,Active
MED003,Ibuprofen 400mg,Analgesic,BCH-003-02,2024-01-25,2026-01-24,730,395,Strips,38,Room Temp,Active
MED003,Ibuprofen 400mg,Analgesic,BCH-003-03,2023-09-17,2025-09-16,730,194,Strips,37,Cool & Dry,Active
MED003,Ibuprofen 400mg,Analgesic,BCH-003-04,2023-11-19,2025-11-18,730,189,Bottles,42,Cool & Dry,Active
MED003,Ibuprofen 400mg,Analgesic,BCH-003-05,2025-03-30,2027-03-30,730,36,Strips,58,Refrigerate,Low Stock
MED003,Ibuprofen 400mg,Analgesic,BCH-003-06,2024-02-11,2026-02-10,730,83,Strips,49,Refrigerate,Active
MED004,Metformin 500mg,Antidiabetic,BCH-004-01,2024-12-27,2026-12-27,730,112,Strips,63,Room Temp,Active
MED004,Metformin 500mg,Antidiabetic,BCH-004-02,2024-01-26,2026-01-25,730,420,Strips,22,Cool & Dry,Active
MED004,Metformin 500mg,Antidiabetic,BCH-004-03,2024-03-06,2026-03-06,730,33,Strips,33,Refrigerate,Low Stock
MED004,Metformin 500mg,Antidiabetic,BCH-004-04,2024-04-23,2026-04-23,730,108,Strips,61,Refrigerate,Active
MED004,Metformin 500mg,Antidiabetic,BCH-004-05,2024-09-17,2026-09-17,730,73,Bottles,36,Refrigerate,Active
MED004,Metformin 500mg,Antidiabetic,BCH-004-06,2024-12-31,2026-12-31,730,275,Strips,36,Cool & Dry,Active
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-01,2024-08-31,2027-08-31,1095,185,Strips,34,Room Temp,Active
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-02,2025-03-12,2028-03-11,1095,46,Bottles,68,Room Temp,Low Stock
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-03,2023-04-15,2026-04-14,1095,321,Strips,30,Cool & Dry,Active
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-04,2022-10-14,2025-10-13,1095,197,Strips,44,Cool & Dry,Active
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-05,2023-11-02,2026-11-01,1095,497,Strips,55,Room Temp,Active
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-06,2023-01-26,2026-01-25,1095,349,Strips,76,Cool & Dry,Active
MED006,Cetirizine 10mg,Antihistamine,BCH-006-01,2025-03-23,2027-03-23,730,174,Bottles,27,Room Temp,Active
MED006,Cetirizine 10mg,Antihistamine,BCH-006-02,2024-09-12,2026-09-12,730,1,Strips,66,Cool & Dry,Low Stock
MED006,Cetirizine 10mg,Antihistamine,BCH-006-03,2024-10-30,2026-10-30,730,390,Strips,31,Room Temp,Active
MED006,Cetirizine 10mg,Antihistamine,BCH-006-04,2025-03-07,2027-03-07,730,152,Strips,73,Refrigerate,Active
MED006,Cetirizine 10mg,Antihistamine,BCH-006-05,2023-12-26,2025-12-25,730,78,Strips,43,Refrigerate,Active
MED006,Cetirizine 10mg,Antihistamine,BCH-006-06,2024-11-30,2026-11-30,730,470,Strips,20,Cool & Dry,Active
MED007,Omeprazole 20mg,Antacid,BCH-007-01,2023-06-25,2025-06-24,730,57,Strips,79,Cool & Dry,Near Expiry
MED007,Omeprazole 20mg,Antacid,BCH-007-02,2024-02-06,2026-02-05,730,29,Strips,35,Room Temp,Low Stock
MED007,Omeprazole 20mg,Antacid,BCH-007-03,2023-09-01,2025-08-31,730,374,Strips,51,Refrigerate,Active
MED007,Omeprazole 20mg,Antacid,BCH-007-04,2023-10-12,2025-10-11,730,65,Strips,62,Refrigerate,Active
MED007,Omeprazole 20mg,Antacid,BCH-007-05,2023-11-22,2025-11-21,730,135,Strips,53,Cool & Dry,Active
MED007,Omeprazole 20mg,Antacid,BCH-007-06,2024-01-08,2026-01-07,730,475,Strips,54,Refrigerate,Active
MED008,Azithromycin 250mg,Antibiotic,BCH-008-01,2024-09-15,2025-09-15,365,365,Strips,39,Refrigerate,Active
MED008,Azithromycin 250mg,Antibiotic,BCH-008-02,2024-12-13,2025-12-13,365,224,Strips,77,Room Temp,Active
MED008,Azithromycin 250mg,Antibiotic,BCH-008-03,2024-10-09,2025-10-09,365,115,Strips,24,Refrigerate,Active
MED008,Azithromycin 250mg,Antibiotic,BCH-008-04,2025-03-15,2026-03-15,365,117,Bottles,57,Room Temp,Active
MED008,Azithromycin 250mg,Antibiotic,BCH-008-05,2024-07-05,2025-07-05,365,117,Strips,24,Cool & Dry,Near Expiry
MED008,Azithromycin 250mg,Antibiotic,BCH-008-06,2024-07-11,2025-07-11,365,263,Bottles,35,Cool & Dry,Near Expiry
MED009,Vitamin C 500mg,Vitamin,BCH-009-01,2021-08-18,2026-08-17,1825,276,Strips,28,Refrigerate,Active
MED009,Vitamin C 500mg,Vitamin,BCH-009-02,2023-08-30,2028-08-28,1825,242,Strips,35,Cool & Dry,Active
MED009,Vitamin C 500mg,Vitamin,BCH-009-03,2021-06-30,2026-06-29,1825,48,Strips,26,Cool & Dry,Active
MED009,Vitamin C 500mg,Vitamin,BCH-009-04,2022-10-21,2027-10-20,1825,210,Strips,49,Room Temp,Active
MED009,Vitamin C 500mg,Vitamin,BCH-009-05,2024-03-16,2029-03-15,1825,334,Bottles,61,Cool & Dry,Active
MED009,Vitamin C 500mg,Vitamin,BCH-009-06,2024-07-06,2029-07-05,1825,173,Strips,71,Room Temp,Active
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-01,2021-07-03,2026-07-02,1825,97,Strips,54,Cool & Dry,Active
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-02,2021-06-16,2026-06-15,1825,142,Bottles,49,Room Temp,Active
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-03,2022-11-30,2027-11-29,1825,413,Strips,75,Room Temp,Active
