Medicine ID,Medicine Name,Category,Batch ID,Manufacture Date,Expiry Date,Shelf Life (days),Stock Quantity,Unit,Reorder Level,Storage Condition,Status,Total Sold,Active Days,Avg Daily Sales,Restock Count,Product Shelf Life,Days to Expiry,Days Cover,Velocity,Est Wastage,Stock Turnover,Expiry Risk Score,Risk Label,Risk Level,Slow Moving
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-01,2024-08-01,2025-08-01,365,12,Bottles,67,Room Temp,Near Expiry,118,7,16.86,3,365,-283,0.7117437722419929,Normal,4783.0,9.8333,75.0,1,High Risk,0
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-02,2024-08-15,2025-08-15,365,377,Strips,26,Refrigerate,Active,118,7,16.86,3,365,-269,22.36061684460261,Normal,4912.0,0.313,100.0,1,High Risk,0
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-03,2024-07-19,2025-07-19,365,302,Bottles,47,Room Temp,Near Expiry,118,7,16.86,3,365,-296,17.912218268090154,Normal,5293.0,0.3907,100.0,1,High Risk,0
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-04,2024-09-24,2025-09-24,365,119,Strips,52,Refrigerate,Active,118,7,16.86,3,365,-229,7.058125741399763,Normal,3980.0,0.9916,100.0,1,High Risk,0
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-05,2024-09-14,2025-09-14,365,366,Strips,61,Cool & Dry,Active,118,7,16.86,3,365,-239,21.708185053380785,Normal,4396.0,0.3224,100.0,1,High Risk,0
MED001,Amoxicillin 500mg,Antibiotic,BCH-001-06,2024-09-25,2025-09-25,365,229,Bottles,57,Room Temp,Active,118,7,16.86,3,365,-228,13.582443653618032,Normal,4073.0,0.5153,100.0,1,High Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-01,2023-11-16,2025-11-15,730,357,Strips,47,Room Temp,Active,147,7,21.0,3,730,-177,17.0,Normal,4074.0,0.4118,100.0,1,High Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-02,2024-01-12,2026-01-11,730,490,Strips,68,Room Temp,Active,147,7,21.0,3,730,-120,23.333333333333332,Normal,3010.0,0.3,100.0,1,High Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-03,2024-06-29,2026-06-29,730,49,Strips,42,Refrigerate,Active,147,7,21.0,3,730,49,2.3333333333333335,Normal,0.0,3.0,37.32,0,Medium Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-04,2024-03-02,2026-03-02,730,413,Strips,22,Refrigerate,Active,147,7,21.0,3,730,-70,19.666666666666668,Normal,1883.0,0.3559,100.0,1,High Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-05,2023-10-11,2025-10-10,730,498,Strips,79,Refrigerate,Active,147,7,21.0,3,730,-213,23.714285714285715,Normal,4971.0,0.2952,100.0,1,High Risk,0
MED002,Paracetamol 500mg,Antipyretic,BCH-002-06,2024-04-01,2026-04-01,730,424,Strips,60,Cool & Dry,Active,147,7,21.0,3,730,-40,20.19047619047619,Normal,1264.0,0.3467,100.0,1,High Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-01,2025-01-17,2027-01-17,730,98,Bottles,65,Refrigerate,Active,65,3,21.67,3,730,251,4.522381172127365,Normal,0.0,0.6633,26.25,0,Low Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-02,2024-01-25,2026-01-24,730,395,Strips,38,Room Temp,Active,65,3,21.67,3,730,-107,18.22796492847254,Normal,2714.0,0.1646,100.0,1,High Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-03,2023-09-17,2025-09-16,730,194,Strips,37,Cool & Dry,Active,65,3,21.67,3,730,-237,8.952468850946008,Normal,5330.0,0.3351,100.0,1,High Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-04,2023-11-19,2025-11-18,730,189,Bottles,42,Cool & Dry,Active,65,3,21.67,3,730,-174,8.721735117674204,Normal,3960.0,0.3439,100.0,1,High Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-05,2025-03-30,2027-03-30,730,36,Strips,58,Refrigerate,Low Stock,65,3,21.67,3,730,323,1.6612828795569912,Normal,0.0,1.8056,22.3,0,Low Risk,0
MED003,Ibuprofen 400mg,Analgesic,BCH-003-06,2024-02-11,2026-02-10,730,83,Strips,49,Refrigerate,Active,65,3,21.67,3,730,-90,3.8301799723119516,Normal,2033.0,0.7831,100.0,1,High Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-01,2024-12-27,2026-12-27,730,112,Strips,63,Room Temp,Active,83,4,20.75,3,730,230,5.397590361445783,Normal,0.0,0.7411,27.4,0,Low Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-02,2024-01-26,2026-01-25,730,420,Strips,22,Cool & Dry,Active,83,4,20.75,3,730,-106,20.240963855421686,Normal,2620.0,0.1976,100.0,1,High Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-03,2024-03-06,2026-03-06,730,33,Strips,33,Refrigerate,Low Stock,83,4,20.75,3,730,-66,1.5903614457831325,Normal,1402.0,2.5152,89.76,1,High Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-04,2024-04-23,2026-04-23,730,108,Strips,61,Refrigerate,Active,83,4,20.75,3,730,-18,5.204819277108434,Normal,482.0,0.7685,100.0,1,High Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-05,2024-09-17,2026-09-17,730,73,Bottles,36,Refrigerate,Active,83,4,20.75,3,730,129,3.5180722891566263,Normal,0.0,1.137,32.93,0,Medium Risk,0
MED004,Metformin 500mg,Antidiabetic,BCH-004-06,2024-12-31,2026-12-31,730,275,Strips,36,Cool & Dry,Active,83,4,20.75,3,730,234,13.25301204819277,Normal,0.0,0.3018,27.18,0,Low Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-01,2024-08-31,2027-08-31,1095,185,Strips,34,Room Temp,Active,144,7,20.57,3,1095,477,8.993680116674769,Normal,0.0,0.7784,13.86,0,Low Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-02,2025-03-12,2028-03-11,1095,46,Bottles,68,Room Temp,Low Stock,144,7,20.57,3,1095,670,2.236266407389402,Normal,0.0,3.1304,3.29,0,Low Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-03,2023-04-15,2026-04-14,1095,321,Strips,30,Cool & Dry,Active,144,7,20.57,3,1095,-27,15.605250364608652,Normal,876.0,0.4486,100.0,1,High Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-04,2022-10-14,2025-10-13,1095,197,Strips,44,Cool & Dry,Active,144,7,20.57,3,1095,-210,9.5770539620807,Normal,4517.0,0.731,100.0,1,High Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-05,2023-11-02,2026-11-01,1095,497,Strips,55,Room Temp,Active,144,7,20.57,3,1095,174,24.161400097228974,Normal,0.0,0.2897,30.47,0,Medium Risk,0
MED005,Amlodipine 5mg,Antihypertensive,BCH-005-06,2023-01-26,2026-01-25,1095,349,Strips,76,Cool & Dry,Active,144,7,20.57,3,1095,-106,16.96645600388916,Normal,2529.0,0.4126,100.0,1,High Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-01,2025-03-23,2027-03-23,730,174,Bottles,27,Room Temp,Active,100,5,20.0,3,730,316,8.7,Normal,0.0,0.5747,22.68,0,Low Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-02,2024-09-12,2026-09-12,730,1,Strips,66,Cool & Dry,Low Stock,100,5,20.0,3,730,124,0.05,Normal,0.0,100.0,33.21,0,Medium Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-03,2024-10-30,2026-10-30,730,390,Strips,31,Room Temp,Active,100,5,20.0,3,730,172,19.5,Normal,0.0,0.2564,30.58,0,Medium Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-04,2025-03-07,2027-03-07,730,152,Strips,73,Refrigerate,Active,100,5,20.0,3,730,300,7.6,Normal,0.0,0.6579,23.56,0,Low Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-05,2023-12-26,2025-12-25,730,78,Strips,43,Refrigerate,Active,100,5,20.0,3,730,-137,3.9,Normal,2818.0,1.2821,100.0,1,High Risk,0
MED006,Cetirizine 10mg,Antihistamine,BCH-006-06,2024-11-30,2026-11-30,730,470,Strips,20,Cool & Dry,Active,100,5,20.0,3,730,203,23.5,Normal,0.0,0.2128,28.88,0,Low Risk,0
