PO Number,Order Date,Medicine ID,Medicine Name,Supplier,Qty Ordered,Unit Cost (₹),Total Cost (₹),Received Date,Lead Time (days),Status
PO-0001,2024-11-26,MED001,Amoxicillin 500mg,QuickMed Pvt,70,96.14,6729.8,2024-12-08,12,Received
PO-0002,2025-04-27,MED002,Paracetamol 500mg,MedSupply Co,236,221.05,52167.8,2025-05-08,11,Pending
PO-0003,2025-02-19,MED003,Ibuprofen 400mg,PharmaDist Ltd,432,127.57,55110.24,2025-02-26,7,Received
PO-0004,2025-04-02,MED004,Metformin 500mg,HealthStock Inc,326,263.56,85920.56,2025-04-16,14,Received
PO-0005,2024-12-21,MED005,Amlodipine 5mg,HealthStock Inc,189,249.99,47248.11,2024-12-31,10,Received
PO-0006,2025-01-02,MED006,Cetirizine 10mg,HealthStock Inc,201,225.24,45273.24,2025-01-16,14,Received
PO-0007,2025-04-06,MED007,Omeprazole 20mg,PharmaDist Ltd,88,46.52,4093.76,2025-04-15,9,Received
PO-0008,2024-11-13,MED008,Azithromycin 250mg,NovaPharma,395,294.08,116161.6,2024-11-26,13,Received
PO-0009,2025-02-01,MED009,Vitamin C 500mg,HealthStock Inc,454,121.4,55115.6,2025-02-04,3,Received
PO-0010,2024-12-19,MED010,Vitamin D3 1000IU,HealthStock Inc,282,113.73,32071.86,2024-12-22,3,Received
PO-0011,2024-12-07,MED011,Fluconazole 150mg,HealthStock Inc,471,193.37,91077.27,2024-12-15,8,Received
PO-0012,2025-04-08,MED012,Acyclovir 400mg,NovaPharma,169,144.09,24351.21,2025-04-20,12,Received
PO-0013,2024-12-13,MED013,Aspirin 75mg,MedSupply Co,362,70.3,25448.6,2024-12-20,7,Received
PO-0014,2024-11-24,MED014,Atorvastatin 10mg,QuickMed Pvt,408,94.15,38413.2,2024-12-03,9,Received
PO-0015,2025-04-06,MED015,Pantoprazole 40mg,HealthStock Inc,73,284.15,20742.95,2025-04-10,4,Received
PO-0016,2024-12-30,MED016,Doxycycline 100mg,NovaPharma,99,74.27,7352.73,2025-01-02,3,Received
PO-0017,2025-04-01,MED017,Glibenclamide 5mg,NovaPharma,282,114.45,32274.9,2025-04-09,8,Received
PO-0018,2025-01-18,MED018,Losartan 50mg,QuickMed Pvt,430,219.35,94320.5,2025-01-29,11,Received
PO-0019,2024-11-19,MED019,Loratadine 10mg,QuickMed Pvt,476,149.36,71095.36,2024-11-22,3,Received
PO-0020,2025-02-23,MED020,Multivitamin Tab,QuickMed Pvt,403,114.31,46066.93,2025-02-25,2,Received
PO-0021,2025-01-12,MED001,Amoxicillin 500mg,HealthStock Inc,487,111.99,54539.13,2025-01-17,5,Received
PO-0022,2024-12-17,MED002,Paracetamol 500mg,HealthStock Inc,233,22.86,5326.38,2024-12-29,12,Received
PO-0023,2025-03-18,MED003,Ibuprofen 400mg,MedSupply Co,484,248.14,120099.76,2025-03-21,3,Received
PO-0024,2024-11-17,MED004,Metformin 500mg,MedSupply Co,378,193.65,73199.7,2024-11-22,5,Received
PO-0025,2025-04-23,MED005,Amlodipine 5mg,PharmaDist Ltd,220,76.85,16907.0,2025-05-07,14,Pending
PO-0026,2024-12-12,MED006,Cetirizine 10mg,NovaPharma,85,249.8,21233.0,2024-12-17,5,Received
PO-0027,2025-03-13,MED007,Omeprazole 20mg,PharmaDist Ltd,160,244.85,39176.0,2025-03-24,11,Received
PO-0028,2025-02-10,MED008,Azithromycin 250mg,NovaPharma,125,237.65,29706.25,2025-02-24,14,Received
PO-0029,2025-05-05,MED009,Vitamin C 500mg,PharmaDist Ltd,489,295.29,144396.81,2025-05-11,6,Pending
PO-0030,2024-12-18,MED010,Vitamin D3 1000IU,MedSupply Co,458,56.48,25867.84,2024-12-24,6,Received
PO-0031,2025-04-02,MED011,Fluconazole 150mg,PharmaDist Ltd,233,238.05,55465.65,2025-04-04,2,Received
PO-0032,2024-12-06,MED012,Acyclovir 400mg,MedSupply Co,58,56.4,3271.2,2024-12-13,7,Received
PO-0033,2025-04-03,MED013,Aspirin 75mg,MedSupply Co,265,160.2,42453.0,2025-04-16,13,Received
PO-0034,2025-01-04,MED014,Atorvastatin 10mg,NovaPharma,448,111.8,50086.4,2025-01-13,9,Received
PO-0035,2025-04-08,MED015,Pantoprazole 40mg,NovaPharma,307,70.36,21600.52,2025-04-17,9,Received
PO-0036,2025-04-24,MED016,Doxycycline 100mg,NovaPharma,451,273.08,123159.08,2025-05-07,13,Pending
PO-0037,2025-02-17,MED017,Glibenclamide 5mg,MedSupply Co,379,289.39,109678.81,2025-02-26,9,Received
PO-0038,2025-01-03,MED018,Losartan 50mg,QuickMed Pvt,268,207.4,55583.2,2025-01-11,8,Received
PO-0039,2025-01-12,MED019,Loratadine 10mg,PharmaDist Ltd,91,100.02,9101.82,2025-01-15,3,Received
PO-0040,2025-04-19,MED020,Multivitamin Tab,NovaPharma,190,189.17,35942.3,2025-04-23,4,Received
PO-0041,2024-12-16,MED001,Amoxicillin 500mg,NovaPharma,216,117.37,25351.92,2024-12-29,13,Received
PO-0042,2024-12-21,MED002,Paracetamol 500mg,QuickMed Pvt,282,154.14,43467.48,2024-12-27,6,Received
PO-0043,2025-04-10,MED003,Ibuprofen 400mg,NovaPharma,409,38.75,15848.75,2025-04-24,14,Received
PO-0044,2025-03-11,MED004,Metformin 500mg,QuickMed Pvt,281,266.99,75024.19,2025-03-19,8,Received
PO-0045,2025-02-08,MED005,Amlodipine 5mg,MedSupply Co,254,127.72,32440.88,2025-02-17,9,Received
PO-0046,2025-02-14,MED006,Cetirizine 10mg,HealthStock Inc,210,201.21,42254.1,2025-02-22,8,Received
PO-0047,2025-03-27,MED007,Omeprazole 20mg,MedSupply Co,292,24.8,7241.6,2025-04-08,12,Received
PO-0048,2025-04-12,MED008,Azithromycin 250mg,HealthStock Inc,99,224.65,22240.35,2025-04-20,8,Received
PO-0049,2025-04-02,MED009,Vitamin C 500mg,NovaPharma,80,178.01,14240.8,2025-04-12,10,Received
PO-0050,2024-12-13,MED010,Vitamin D3 1000IU,HealthStock Inc,393,41.06,16136.58,2024-12-20,7,Received
PO-0051,2024-11-16,MED011,Fluconazole 150mg,MedSupply Co,266,261.09,69449.94,2024-11-30,14,Received
PO-0052,2025-02-21,MED012,Acyclovir 400mg,NovaPharma,209,108.74,22726.66,2025-03-04,11,Received
PO-0053,2024-12-27,MED013,Aspirin 75mg,PharmaDist Ltd,129,198.74,25637.46,2025-01-01,5,Received
PO-0054,2025-04-08,MED014,Atorvastatin 10mg,MedSupply Co,482,169.1,81506.2,2025-04-15,7,Received
PO-0055,2025-02-23,MED015,Pantoprazole 40mg,NovaPharma,165,243.13,40116.45,2025-03-06,11,Received
PO-0056,2024-11-27,MED016,Doxycycline 100mg,MedSupply Co,395,194.6,76867.0,2024-12-08,11,Received
PO-0057,2024-12-01,MED017,Glibenclamide 5mg,MedSupply Co,474,209.57,99336.18,2024-12-13,12,Received
PO-0058,2025-03-20,MED018,Losartan 50mg,HealthStock Inc,409,229.91,94033.19,2025-03-26,6,Received
PO-0059,2025-02-05,MED019,Loratadine 10mg,NovaPharma,142,261.61,37148.62,2025-02-07,2,Received
PO-0060,2024-11-18,MED020,Multivitamin Tab,MedSupply Co,85,46.85,3982.25,2024-11-26,8,Received
